store_id,phone
1,9696550178
2,9607026436
3,9131395184
4,9500639994
5,9905365839
6,9680401275
7,9103127301
8,9883047986
9,9355954357
10,9503159415
11,9034274148
12,9275507966
13,9343000215
14,9866510827
15,9842975739
16,9712633509
17,9855495973
18,9849381577
19,9439651577
20,9910087945
21,9786374428
22,9780998785
23,9576269734
24,9138952264
25,9332917839
26,9279502128
27,9339503773
28,9030085963
29,9455176287
30,9157270790
31,9202697113
32,9671009134
33,9580681004
34,9561763030
35,9112240142
36,9045990920
37,9744466169
38,9059709711
39,9254761900
40,9076622115
41,9452836616
42,9739127302
43,9296124543
44,9487436987
45,9416408595
46,9209645617
47,9263504263
48,9287695581
49,9161696288
50,9050768878
51,9493982870
52,9901210722
53,9570407000
54,9564811240
55,9122645564
56,9584468360
57,9460640251
58,9899695417
59,9406682124
60,9392994654
61,9317722562
62,9255632638
63,9948193335
64,9102953311
65,9791069583
66,9216130691
67,9694804382
68,9264439044
69,9227756138
70,9088640809
71,9414694253
72,9845848540
73,9243372798
74,9518266780
75,9954989849
76,9512271430
77,9385908032
78,9142700917
79,9146247081
80,9656920715
81,9174689595
82,9480672590
83,9626418376
84,9630698061
85,9536837396
86,9287249712
87,9735879961
88,9863406330
89,9682680146
90,9066841625
91,9393408543
92,9735505856
93,9146148538
94,9773702885
95,9400540144
96,9443166376
97,9337910614
98,9629517723
99,9342636117
100,9549201725
65,9365499224
43,9022778840
59,9075787048
92,9033680480
69,9946471002
46,9348726016
70,9672161276
43,9846580214
47,9865063736
6,9698216506
76,9483996280
64,9022338549
16,9964995542
94,9705033362
69,9738794834
82,9694873173
82,9593064491
83,9707817401
36,9721284243
70,9396202196
13,9479397790
62,9940941313
8,9382628988
65,9146122381
26,9900352468
7,9329244661
49,9600063986
65,9538140715
8,9950365154
55,9855444296
37,9043172667
25,9847816072
74,9738495478
27,9713014005
70,9240531598
45,9243026842
6,9733392685
63,9876424163
6,9073944758
21,9720656139
7,9686486369
3,9602207436
53,9374560461
55,9090628962
5,9888709249
99,9227415227
35,9232603157
32,9899766985
59,9723593192
19,9559155659
94,9824081633
53,9059479332
96,9131177120
30,9941748610
97,9550329397
96,9752270325
63,9201731523
53,9508009279
90,9297070493
90,9063222947
9,9242325290
51,9533823045
61,9257401038
90,9399952305
55,9273050219
79,9646198851
100,9555274333
81,9464189260
49,9138646464
68,9684611477
95,9334243407
61,9719993328
65,9891957734
19,9212258166
95,9551318912
49,9360956886
97,9218695974
25,9415679364
49,9173474314
45,9560682518
85,9903216691
50,9685330981
86,9043908720
66,9659562511
13,9192774856
55,9579124125
4,9620728326
46,9948069350
7,9821840544
86,9505563387
68,9235014004
18,9357577321
40,9126849560
39,9355647057
34,9007537735
85,9955867973
22,9147180923
34,9075795831
10,9608343536
63,9895034977
