store_id,warehouse_id
1,141
2,142
3,143
4,144
5,145
6,146
7,147
8,148
9,149
10,150
11,151
12,152
13,153
14,154
15,155
16,156
17,157
18,158
19,159
20,160
21,161
22,162
23,163
24,164
25,165
26,166
27,167
28,168
29,169
30,170
31,171
32,172
33,173
34,174
35,175
36,176
37,177
38,178
39,179
40,180
41,181
42,182
43,183
44,184
45,185
46,186
47,187
48,188
49,189
50,190
51,191
52,192
53,193
54,194
55,195
56,196
57,197
58,198
59,199
60,200
61,201
62,202
63,203
64,204
65,205
66,206
67,207
68,208
69,209
70,210
71,211
72,212
73,213
74,214
75,215
76,216
77,217
78,218
79,219
80,220
81,221
82,222
83,223
84,224
85,225
86,226
87,227
88,228
89,229
90,230
91,231
92,232
93,233
94,234
95,235
96,236
97,237
