batch_id,warehouse_id
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,2
14,3
15,3
16,3
17,2
18,4
19,4
20,4
21,4
22,3
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,5
31,5
32,5
33,5
34,5
35,3
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,6
48,5
49,5
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,7
64,6
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,8
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,9
89,9
90,9
91,8
92,10
93,10
94,8
95,10
96,10
97,11
98,11
99,11
100,11
101,9
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,12
110,12
111,10
112,11
113,14
114,14
115,14
116,14
117,14
118,12
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,15
127,15
128,15
129,15
130,15
131,15
132,15
133,14
134,15
135,15
136,17
137,15
138,17
139,18
140,18
141,18
142,18
143,18
144,18
145,18
146,17
147,17
148,18
149,18
150,18
151,18
152,18
153,20
154,20
155,20
156,18
157,18
158,19
159,20
160,20
161,20
162,20
163,20
164,20
165,20
166,20
167,20
168,20
169,20
170,22
171,21
172,22
173,22
174,22
175,22
176,22
177,22
178,22
179,22
180,22
181,18
182,22
183,22
184,23
185,23
186,23
187,22
188,23
189,23
190,23
191,19
192,23
193,23
194,23
195,23
196,23
197,23
198,23
199,20
200,23
201,23
202,24
203,23
204,24
205,24
206,24
207,21
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,23
216,24
217,25
218,24
219,25
220,24
221,25
222,25
223,26
224,26
225,26
226,26
227,26
228,26
229,26
230,26
231,26
232,25
233,26
234,26
235,27
236,27
237,27
238,27
239,27
240,28
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,29
250,29
251,27
252,28
253,29
254,29
255,24
256,29
257,29
258,29
259,29
260,29
261,29
262,29
263,29
264,30
265,29
266,30
267,29
268,30
269,30
270,30
271,30
272,30
273,30
274,30
275,30
276,30
277,30
278,31
279,30
280,30
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,32
296,32
297,32
298,32
299,32
300,32
